page	status	http	links_total	links_matched	links_missing
community-contact/community-shared-protocols	pass	200	1	1	0
community-contact/writing-for-saleae	pass	200	1	1	0
extensions-api/automation-api/automation-legacy-logic1	pass	200	3	3	0
extensions-api/automation-api/export-data	pass	200	1	1	0
extensions-api/automation-api/extract-data-using-socket-api	pass	200	1	1	0
extensions-api/automation-api/how-to-trigger-on-a-pulse-with-no-maximum-time-limit	pass	200	1	1	0
extensions-api/automation-api/vb-net	pass	200	1	1	0
extensions-api/extensions/high-level-analyzer-extensions	pass	200	12	12	0
extensions-api/extensions/measurement-extensions	pass	200	7	7	0
extensions-api/extensions/publish-an-extension	pass	200	1	1	0
extensions-api/protocol-analyzer-sdk/can-custom-analyzers-process-analog-channels	pass	200	1	1	0
extensions-api/protocol-analyzer-sdk/how-to-view-and-debug-firmware-variables-state-and-function-calls	pass	200	1	1	0
extensions-api/protocol-analyzer-sdk/osx-analyzer-sdk-xcode-setup	pass	200	1	1	0
extensions-api/protocol-analyzer-sdk/protocol-analyzer-sdk	pass	200	3	3	0
extensions-api/protocol-analyzer-sdk/setting-up-developer-directory	pass	200	1	1	0
extensions-api/protocol-analyzer-sdk/sharing-custom-analyzer-code	pass	200	1	1	0
getting-started/identify-each-saleae-device	pass	200	1	1	0
getting-started/what-accessories-if-any-should-i-purchase-with-my-device	pass	200	1	1	0
getting-started/what-is-included	pass	200	1	1	0
logic-software/capturing-data/automate-long-captures	pass	200	2	2	0
logic-software/capturing-data/capture-settings-configuration-guide	pass	200	1	1	0
logic-software/capturing-data/capture-settings	pass	200	3	3	0
logic-software/capturing-data/connecting-accessories	pass	200	1	1	0
logic-software/capturing-data/connecting-the-logic-hardware	pass	200	1	1	0
logic-software/capturing-data/suggestions-for-capturing-multiple-instances-of-a-triggered-event-automatically	pass	200	3	3	0
logic-software/capturing-data/what-sample-rate-is-required	pass	200	3	3	0
logic-software/download-and-installation/changelog	pass	200	2	2	0
logic-software/download-and-installation/firmware-updates	pass	200	1	1	0
logic-software/download-and-installation/logic-1.x-installation	pass	200	3	3	0
logic-software/download-and-installation/logic-1.x-user-guide	pass	200	1	1	0
logic-software/download-and-installation/older-software-releases	pass	200	4	4	0
logic-software/download-and-installation/running-multiple-versions-of-the-software	pass	200	2	2	0
logic-software/download-and-installation/standalone-software-info	pass	200	1	1	0
logic-software/download-and-installation/sw-download	pass	200	2	2	0
logic-software/download-and-installation/sw-installation	pass	200	2	2	0
logic-software/download-and-installation/which-version-of-the-software-should-i-use	pass	200	2	2	0
logic-software/saving-and-exporting-data/binary-and-csv-export-formats-2025-update	pass	200	1	1	0
logic-software/saving-and-exporting-data/binary-data-export-format	pass	200	1	1	0
logic-software/saving-and-exporting-data/binary-export-format-logic-2	pass	200	5	5	0
logic-software/saving-and-exporting-data/can-i-create-or-edit-logicdata-files	pass	200	1	1	0
logic-software/saving-and-exporting-data/can-i-share-data-captures	pass	200	1	1	0
logic-software/saving-and-exporting-data/exporting-data	pass	200	1	1	0
logic-software/saving-and-exporting-data/how-to-export-serial-protocol-results-to-a-raw-binary-file	pass	200	2	2	0
logic-software/saving-and-exporting-data/is-my-capture-data-private	pass	200	1	1	0
logic-software/saving-and-exporting-data/matlab-data-export-format	pass	200	1	1	0
logic-software/saving-and-exporting-data/open-logicdata-files	pass	200	1	1	0
logic-software/saving-and-exporting-data/sal-file-format	pass	200	1	1	0
logic-software/saving-and-exporting-data/saving-loading-and-exporting-data	pass	200	2	2	0
logic-software/saving-and-exporting-data/what-options-are-there-to-export-multiple-protocol-analyzer-results-into-the-same-file	pass	200	2	2	0
logic-software/settings-and-preferences/location-of-your-config-file	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/compare-two-clock-signals-for-synchronization-and-drift	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/data-table-and-terminal	pass	200	2	2	0
logic-software/viewing-and-analyzing-data/generate-analog-graph-from-digital-data	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/how-can-i-compare-signals-from-different-captures	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/how-does-ascii-display-characters	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/measurements-timing-markers	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/navigating-the-software	pass	200	3	3	0
logic-software/viewing-and-analyzing-data/navigating-your-data	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/set-analyzer-starting-point	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/software-glitch-filter	pass	200	2	2	0
logic-software/viewing-and-analyzing-data/using-protocol-analyzers	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/what-annotations-are-supported	pass	200	1	1	0
ordering-returns/180-day-return-policy-and-3-year-warranty	pass	200	1	1	0
ordering-returns/does-saleae-provide-drop-shipping-service	pass	200	1	1	0
ordering-returns/how-do-i-get-a-quote	pass	200	2	2	0
ordering-returns/is-the-saleae-software-sold-separately	pass	200	1	1	0
ordering-returns/place-a-purchase-order-po	pass	200	3	3	0
ordering-returns/pricing-and-availability	pass	200	2	2	0
ordering-returns/process-a-warranty	pass	200	3	3	0
protocol-analyzers/analyzer-user-guides/decode-differential-and-high-voltage-data	pass	200	1	1	0
protocol-analyzers/analyzer-user-guides/using-async-serial	pass	200	4	4	0
protocol-analyzers/analyzer-user-guides/using-dmx-512	pass	200	1	1	0
protocol-analyzers/analyzer-user-guides/using-i2c	pass	200	2	2	0
protocol-analyzers/analyzer-user-guides/using-i2s-pcm	pass	200	2	2	0
protocol-analyzers/analyzer-user-guides/using-spi	pass	200	1	1	0
protocol-analyzers/supported-protocols/supported-protocols	pass	200	1	1	0
protocol-analyzers/supported-protocols/what-is-the-best-way-to-compare-similar-sequences-of-protocol-data	pass	200	2	2	0
specifications-hardware/datasheets-and-compliance/system-requirements-for-saleae-products	pass	200	2	2	0
specifications-hardware/electrical-characteristics/adjusting-thresholds	pass	200	1	1	0
specifications-hardware/electrical-characteristics/are-inputs-isolated	pass	200	1	1	0
specifications-hardware/electrical-characteristics/can-i-change-the-voltage-range-of-the-analog-inputs	pass	200	2	2	0
specifications-hardware/electrical-characteristics/resolution-of-the-analog-inputs	pass	200	1	1	0
specifications-hardware/electrical-characteristics/supported-voltages	pass	200	1	1	0
specifications-hardware/electrical-characteristics/what-is-the-maximum-bandwidth	pass	200	1	1	0
specifications-hardware/electrical-characteristics/worst-case-channel-skew	pass	200	1	1	0
specifications-hardware/product-comparison-and-selection/how-to-choose-the-right-logic-analyzer-for-you	pass	200	1	1	0
specifications-hardware/product-comparison-and-selection/safety-and-warranty	pass	200	2	2	0
specifications-hardware/product-comparison-and-selection/what-is-the-normal-behavior-of-the-led	pass	200	1	1	0
specifications-hardware/usb-and-connectivity/full-speed-usb-isolator	pass	200	1	1	0
specifications-hardware/usb-and-connectivity/recommended-usb-3.0-host-controller-cards	pass	200	3	3	0
specifications-hardware/usb-and-connectivity/usb-3.0-host-controller-info	pass	200	1	1	0
troubleshooting/capture-and-recording-issues/captured-data-looks-incorrect	pass	200	6	6	0
troubleshooting/capture-and-recording-issues/device-not-able-to-keep-up	pass	200	2	2	0
troubleshooting/capture-and-recording-issues/logic-interferes-with-circuit	pass	200	3	3	0
troubleshooting/capture-and-recording-issues/maximum-sample-rate-not-selectable	pass	200	2	2	0
troubleshooting/capture-and-recording-issues/memory-usage-with-triggered-captures	pass	200	1	1	0
troubleshooting/capture-and-recording-issues/my-capture-shows-an-uneven-duty-cycle	pass	200	2	2	0
troubleshooting/capture-and-recording-issues/seeing-spikes-in-digital-capture	pass	200	2	2	0
troubleshooting/capture-and-recording-issues/the-captured-data-is-corrupted	pass	200	2	2	0
troubleshooting/data-and-analysis-issues/channels-are-missing	pass	200	1	1	0
troubleshooting/data-and-analysis-issues/csv-export-slow	pass	200	2	2	0
troubleshooting/data-and-analysis-issues/data-table-shows-incorrect-values	pass	200	2	2	0
troubleshooting/data-and-analysis-issues/exported-matlab-file-does-not-open	pass	200	1	1	0
troubleshooting/data-and-analysis-issues/my-rise-time-and-fall-time-measurements-seem-incorrect	pass	200	1	1	0
troubleshooting/data-and-analysis-issues/protocol-analyzer-produces-unexpected-results	pass	200	1	1	0
troubleshooting/data-and-analysis-issues/the-logic-softwares-data-export-feature-is-not-working-properly	pass	200	1	1	0
troubleshooting/data-and-analysis-issues/this-analyzers-native-export-is-not-supported-in-logic-2	pass	200	1	1	0
troubleshooting/device-connection-issues/device-removed-before-initialization	pass	200	4	4	0
troubleshooting/device-connection-issues/device-setup-failure	pass	200	1	1	0
troubleshooting/device-connection-issues/error-an-unknown-error-occurred-during-device-connection	pass	200	1	1	0
troubleshooting/device-connection-issues/error-function-device2-setupdevice	pass	200	2	2	0
troubleshooting/device-connection-issues/limitations-of-logic-pro-usb2	pass	200	1	1	0
troubleshooting/device-connection-issues/logic-does-not-connect-over-usb3	pass	200	2	2	0
troubleshooting/device-connection-issues/logic-not-detected	pass	200	7	7	0
troubleshooting/device-connection-issues/move-logic-to-its-own-host-controller	pass	200	1	1	0
troubleshooting/device-connection-issues/other-drivers-interfere	pass	200	2	2	0
troubleshooting/device-connection-issues/usb-driver-problem	pass	200	2	2	0
troubleshooting/diagnostic-tools/led-blinks-red	pass	200	1	1	0
troubleshooting/diagnostic-tools/pc-detection-test	pass	200	3	3	0
troubleshooting/installation-and-launch-issues/api-ms-win-crt-runtime-missing	pass	200	2	2	0
troubleshooting/installation-and-launch-issues/disk1-cab-has-invalid-digital-signature	pass	200	1	1	0
