file	type	old_href	new_href	resolved_old_slug
community-contact/community-shared-protocols.md	markdown	../troubleshooting/technical-faq/setting-up-developer-directory.md	../extensions-api/protocol-analyzer-sdk/setting-up-developer-directory.md	getting-help/troubleshooting/technical-faq/setting-up-developer-directory
community-contact/community-shared-protocols.md	content-ref	../troubleshooting/technical-faq/setting-up-developer-directory.md	../extensions-api/protocol-analyzer-sdk/setting-up-developer-directory.md	getting-help/troubleshooting/technical-faq/setting-up-developer-directory
community-contact/writing-for-saleae.md	markdown	../../community/projects.md	./projects.md	getting-help/community/projects
community-contact/writing-for-saleae.md	content-ref	../../community/projects.md	./projects.md	getting-help/community/projects
extensions-api/automation-api/automation-legacy-logic1.md	markdown	../../../datasheets-and-specifications/logic-hardware-revisions.md	../../specifications-hardware/datasheets-and-compliance/logic-hardware-revisions.md	product/datasheets-and-specifications/logic-hardware-revisions
extensions-api/automation-api/automation-legacy-logic1.md	markdown	../../../logic-software/legacy-software/older-software-releases.md	../../logic-software/download-and-installation/older-software-releases.md	product/logic-software/legacy-software/older-software-releases
extensions-api/automation-api/automation-legacy-logic1.md	markdown	../../../../getting-help/troubleshooting/technical-faq/export-data.md	./export-data.md	getting-help/troubleshooting/technical-faq/export-data
extensions-api/automation-api/automation-legacy-logic1.md	content-ref	../../../datasheets-and-specifications/logic-hardware-revisions.md	../../specifications-hardware/datasheets-and-compliance/logic-hardware-revisions.md	product/datasheets-and-specifications/logic-hardware-revisions
extensions-api/automation-api/automation-legacy-logic1.md	content-ref	../../../logic-software/legacy-software/older-software-releases.md	../../logic-software/download-and-installation/older-software-releases.md	product/logic-software/legacy-software/older-software-releases
extensions-api/automation-api/automation-legacy-logic1.md	content-ref	../../../../getting-help/troubleshooting/technical-faq/export-data.md	./export-data.md	getting-help/troubleshooting/technical-faq/export-data
extensions-api/automation-api/export-data.md	markdown	../../../product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation.md	./automation.md	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation
extensions-api/automation-api/export-data.md	content-ref	../../../product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation.md	./automation.md	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation
extensions-api/automation-api/extract-data-using-socket-api.md	markdown	../../../product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation.md	./automation.md	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation
extensions-api/automation-api/extract-data-using-socket-api.md	content-ref	../../../product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation.md	./automation.md	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation
extensions-api/automation-api/how-to-trigger-on-a-pulse-with-no-maximum-time-limit.md	markdown	../../../product/logic-software/legacy-software/older-software-releases.md	../../logic-software/download-and-installation/older-software-releases.md	product/logic-software/legacy-software/older-software-releases
extensions-api/automation-api/how-to-trigger-on-a-pulse-with-no-maximum-time-limit.md	content-ref	../../../product/logic-software/legacy-software/older-software-releases.md	../../logic-software/download-and-installation/older-software-releases.md	product/logic-software/legacy-software/older-software-releases
extensions-api/automation-api/vb-net.md	markdown	../automation.md	./automation.md	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation
extensions-api/automation-api/vb-net.md	content-ref	../automation.md	./automation.md	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/automation
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	shared-high-level-analyzers-hlas.md	./shared-high-level-analyzers-hlas.md	product/user-guide/extensions-apis-and-sdks/extensions/shared-high-level-analyzers-hlas
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../extensions-quickstart.md	./extensions-quickstart.md	product/user-guide/extensions-apis-and-sdks/extensions-quickstart
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../extension-file-format.md	./extension-file-format.md	product/user-guide/extensions-apis-and-sdks/extension-file-format
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../api-documentation.md#class-saleae-analyzers-highlevelanalyzer	./api-documentation.md#class-saleae-analyzers-highlevelanalyzer	product/user-guide/extensions-apis-and-sdks/api-documentation
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../api-documentation.md#class-saleae-analyzers-analyzerframe-type-str-start_time-saleae-data-timing-graphtime-end_time-saleae-data-timing-graphtime-data-dict-none	./api-documentation.md#class-saleae-analyzers-analyzerframe-type-str-start_time-saleae-data-timing-graphtime-end_time-saleae-data-timing-graphtime-data-dict-none	product/user-guide/extensions-apis-and-sdks/api-documentation
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../../../using-logic/data-table-and-terminal.md	../../logic-software/viewing-and-analyzing-data/data-table-and-terminal.md	product/using-logic/data-table-and-terminal
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../../../using-logic/time-bar-settings.md	../../logic-software/viewing-and-analyzing-data/time-bar-settings.md	product/using-logic/time-bar-settings
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../../../using-logic/measurements-timing-markers.md	../../logic-software/viewing-and-analyzing-data/measurements-timing-markers.md	product/using-logic/measurements-timing-markers
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../api-documentation.md#class-saleae-analyzers-highlevelanalyzer	./api-documentation.md#class-saleae-analyzers-highlevelanalyzer	product/user-guide/extensions-apis-and-sdks/api-documentation
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../analyzer-frame-types/serial-analyzer.md	../hla-frame-format-reference/serial-analyzer.md	product/user-guide/extensions-apis-and-sdks/analyzer-frame-types/serial-analyzer
extensions-api/extensions/high-level-analyzer-extensions.md	markdown	../api-documentation.md	./api-documentation.md	product/user-guide/extensions-apis-and-sdks/api-documentation
